station_id,lon,lat,is_charging,external_id,capacity,eightd_has_key_dispenser,electric_bike_surcharge_waiver,has_kiosk,rental_methods,short_name,eightd_station_services
69,-73.5291700065136,45.557970682228145,false,0b1064d3-08f3-11e7-a1cb-3863bb33a4e4,15,false,false,true,KEY|CREDITCARD,6076,|||||||
71,-73.5674786567688,45.50527354034462,false,0b10680e-08f3-11e7-a1cb-3863bb33a4e4,27,false,false,true,KEY|CREDITCARD,6078,|||||||
72,-73.60473453998564,45.47393028235147,false,0b106932-08f3-11e7-a1cb-3863bb33a4e4,31,false,false,true,KEY|CREDITCARD,6080,|||||||
73,-73.5768261551857,45.495760902918555,false,0b106b02-08f3-11e7-a1cb-3863bb33a4e4,23,false,false,true,KEY|CREDITCARD,6081,|||||||
74,-73.58308374881744,45.54990048023633,false,0b106c33-08f3-11e7-a1cb-3863bb33a4e4,19,false,false,true,KEY|CREDITCARD,6082,|||||||
75,-73.56894850730896,45.50434678685089,false,0b106d46-08f3-11e7-a1cb-3863bb33a4e4,35,false,false,true,KEY|CREDITCARD,6083,|||||||
76,-73.55371087789534,45.495581350533946,false,0b106e5d-08f3-11e7-a1cb-3863bb33a4e4,31,false,false,true,KEY|CREDITCARD,6084,|||||||
77,-73.56381811201572,45.49425983677146,false,0b106f9a-08f3-11e7-a1cb-3863bb33a4e4,43,false,false,true,KEY|CREDITCARD,6085,|||||||
78,-73.59502326697111,45.52795093787009,false,0b1070e3-08f3-11e7-a1cb-3863bb33a4e4,15,false,false,true,KEY|CREDITCARD,6089,|||||||
79,-73.57112377882004,45.49487159597493,false,0b107204-08f3-11e7-a1cb-3863bb33a4e4,17,false,false,true,KEY|CREDITCARD,6090,|||||||
80,-73.57676714658737,45.491686521008035,false,0b107323-08f3-11e7-a1cb-3863bb33a4e4,19,false,false,true,KEY|CREDITCARD,6091,|||||||
81,-73.57388673355672,45.49532307979691,false,0b107432-08f3-11e7-a1cb-3863bb33a4e4,23,false,false,true,KEY|CREDITCARD,6092,|||||||
82,-73.60363483428955,45.5353599615622,false,0b10753d-08f3-11e7-a1cb-3863bb33a4e4,23,false,false,true,KEY|CREDITCARD,6912,|||||||
83,-73.58456566929817,45.48947622882084,false,0b10765d-08f3-11e7-a1cb-3863bb33a4e4,27,false,false,true,KEY|CREDITCARD,6194,|||||||
84,-73.58400642871855,45.491800276787224,false,0b107771-08f3-11e7-a1cb-3863bb33a4e4,27,false,false,true,KEY|CREDITCARD,6095,|||||||
85,-73.56857568025589,45.49356916133978,false,0b10787d-08f3-11e7-a1cb-3863bb33a4e4,23,false,false,true,KEY|CREDITCARD,6096,|||||||
86,-73.58028218150139,45.49290679828809,false,0b107988-08f3-11e7-a1cb-3863bb33a4e4,23,false,false,true,KEY|CREDITCARD,6097,|||||||
87,-73.5765016078949,45.496583295698706,false,0b1081d2-08f3-11e7-a1cb-3863bb33a4e4,27,false,false,true,KEY|CREDITCARD,6098,|||||||
88,-73.55930088093373,45.515103391493575,false,0b10834a-08f3-11e7-a1cb-3863bb33a4e4,23,false,false,true,KEY|CREDITCARD,6099,|||||||
89,-73.57913017272949,45.49682986230046,false,0b108464-08f3-11e7-a1cb-3863bb33a4e4,23,false,false,true,KEY|CREDITCARD,6100,|||||||
90,-73.61959934234618,45.4789683985657,false,0b108588-08f3-11e7-a1cb-3863bb33a4e4,15,false,false,true,KEY|CREDITCARD,6101,|||||||
91,-73.583836,45.493034,false,0b1086a7-08f3-11e7-a1cb-3863bb33a4e4,15,false,false,true,KEY|CREDITCARD,6102,|||||||
92,-73.55267778049893,45.53881453102766,false,0b1087c4-08f3-11e7-a1cb-3863bb33a4e4,27,false,false,true,KEY|CREDITCARD,6103,|||||||
